,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,1535583360.0,22.08,-159.32,83.53,77.0,40.0,16.11
1,Ribeira Grande,PT,1535586020.0,38.52,-28.7,76.21,97.0,88.0,16.15
2,Thompson,CA,1535583600.0,55.74,-97.86,59.0,54.0,75.0,8.05
3,Necochea,AR,1535586311.0,-38.55,-58.74,50.47,81.0,0.0,10.11
4,Cape Town,ZA,1535583600.0,-33.93,18.42,53.6,93.0,0.0,8.05
5,Hithadhoo,MV,1535586007.0,-0.6,73.08,83.05,100.0,64.0,7.65
6,Rikitea,PF,1535586127.0,-23.12,-134.97,75.22,96.0,0.0,16.49
7,Hilo,US,1535583360.0,19.71,-155.08,74.84,69.0,75.0,9.17
8,Busselton,AU,1535586119.0,-33.64,115.35,56.95,100.0,76.0,21.63
9,Grand Gaube,MU,1535583600.0,-20.01,57.66,64.4,77.0,20.0,12.46
10,Senanga,ZM,1535586253.0,-16.1,23.3,63.52,41.0,0.0,8.99
11,Hongjiang,CN,1535586312.0,27.21,109.83,76.3,91.0,76.0,2.95
12,Norman Wells,CA,1535583600.0,65.28,-126.83,51.8,62.0,75.0,4.7
13,Fundao,BR,1535583600.0,-19.93,-40.4,73.4,83.0,75.0,5.82
14,Ambulu,ID,1535585994.0,-8.35,113.61,73.6,100.0,100.0,4.29
15,Talnakh,RU,1535586024.0,69.49,88.39,39.67,95.0,76.0,14.36
16,Ahipara,NZ,1535585953.0,-35.17,173.16,58.84,84.0,0.0,6.2
17,Paita,PE,1535583600.0,-5.09,-81.11,78.8,78.0,75.0,6.93
18,Teya,MX,1535582880.0,21.05,-89.07,84.2,70.0,75.0,9.17
19,Muros,ES,1535583600.0,42.77,-9.06,57.2,93.0,20.0,9.17
20,Ponta do Sol,BR,1535586314.0,-20.63,-46.0,66.67,61.0,56.0,7.2
21,Hermanus,ZA,1535586114.0,-34.42,19.24,39.85,97.0,36.0,3.96
22,Tahara,JP,1535583600.0,34.64,137.18,84.2,74.0,40.0,3.36
23,Margate,AU,1535583600.0,-43.03,147.26,41.0,80.0,20.0,10.29
24,Makakilo City,US,1535583420.0,21.35,-158.09,84.69,55.0,20.0,14.99
25,Fortuna Foothills,US,1535583420.0,32.66,-114.41,102.92,13.0,20.0,6.93
26,Ayia Marina,GR,1535583000.0,37.75,23.53,78.8,44.0,0.0,4.7
27,Mataura,NZ,1535586316.0,-46.19,168.86,51.46,95.0,32.0,5.53
28,Atuona,PF,1535586316.0,-9.8,-139.03,79.18,100.0,0.0,14.03
29,Ushuaia,AR,1535583600.0,-54.81,-68.31,30.2,80.0,90.0,23.04
30,Puerto Ayora,EC,1535583600.0,-0.74,-90.35,75.2,64.0,40.0,17.22
31,Fort Nelson,CA,1535583600.0,58.81,-122.69,53.6,87.0,90.0,10.29
32,Greenfield,US,1535583360.0,42.59,-72.6,86.58,59.0,1.0,6.93
33,Qaanaaq,GL,1535585943.0,77.48,-69.36,32.74,100.0,20.0,2.73
34,San Patricio,PY,1535585962.0,-26.98,-56.83,83.14,41.0,8.0,6.64
35,Souillac,FR,1535583600.0,45.6,-0.6,58.21,87.0,0.0,4.7
36,Adrar,DZ,1535583600.0,27.87,-0.29,95.0,12.0,0.0,17.22
37,Port Elizabeth,US,1535583360.0,39.31,-74.98,89.35,65.0,1.0,3.36
38,Kavieng,PG,1535586006.0,-2.57,150.8,84.04,100.0,76.0,7.31
39,San Jeronimo,PE,1535586318.0,-13.65,-73.37,42.55,44.0,0.0,1.95
40,Konstantinovka,MD,1535586319.0,47.99,28.86,59.65,85.0,0.0,7.87
41,Luanda,AO,1535583600.0,-8.83,13.24,69.8,88.0,40.0,2.24
42,Saurimo,AO,1535586319.0,-9.66,20.4,62.35,41.0,0.0,6.08
43,Tasiilaq,GL,1535583000.0,65.61,-37.64,42.8,70.0,92.0,19.46
44,Georgetown,GY,1535583600.0,6.8,-58.16,78.8,88.0,20.0,4.7
45,Kharagauli,GE,1535585400.0,42.01,43.2,71.6,100.0,75.0,8.05
46,Yellowknife,CA,1535583600.0,62.45,-114.38,57.2,62.0,40.0,8.05
47,Bethel,US,1535583180.0,60.79,-161.76,55.04,83.0,90.0,8.05
48,Hualmay,PE,1535585991.0,-11.1,-77.61,58.48,93.0,32.0,5.08
49,Gigmoto,PH,1535586321.0,13.78,124.39,83.14,99.0,0.0,3.74
50,Kodiak,US,1535583180.0,39.95,-94.76,78.08,57.0,1.0,8.05
51,East London,ZA,1535585933.0,-33.02,27.91,68.38,99.0,0.0,12.8
52,Tabasalu,EE,1535583000.0,59.43,24.54,62.6,77.0,75.0,8.05
53,Lasa,CY,1535583600.0,34.92,32.53,76.23,73.0,40.0,2.24
54,Arlit,NE,1535585985.0,18.74,7.39,74.95,76.0,92.0,6.2
55,Saint George,GR,1535583000.0,39.45,22.34,69.8,64.0,0.0,4.7
